"Ligand_ID","SMILES","Clusters"
"VECAFUPTACHURT-YQSNPDSASA-N","CSCC[C@@H](C(=O)O)NC(=O)[C@H]([C@H](O)C)NC(=O)[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CN)CC(C)C)CCC(=O)N)CCCNC(=N)N)CC(C)C)CCCNC(=N)N)CC(C)C)CC(C)C)CCC(=O)N)C)CO)Cc1[nH]cnc1)C)C)CC(C)C",1
"YDMVALDGYNDICQ-MQBSTWLZSA-N","OC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCCN=C(N)N)C)CC(C)C)Cc1ccccc1)N",1
"NZQNAWMWYLJVEQ-ZZTWKDBPSA-N","CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)CCCN=C(N)N)Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CN",1
"TZPFQAJPQIKRTJ-NPPKLKBASA-N","CC[C@@H]([C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H]([C@H](CC)C)C(=O)N)Cc1ccc(c(c1)Cl)Cl)CCCN=C(N)N)NC(=O)[C@@H](NC(=O)[C@H](CO)N)CC(C)C)C",1
"JOBPTSBRHGMVFL-SJMOYVGOSA-N","CC[C@@H]([C@@H]1NC(=O)[C@@H](NC(=O)CCSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)CCC(=O)N)CC(=O)N)C(=O)N(CC(=O)N[C@H](C(=O)NCC(=O)N)CC(C)C)CCc1ccccn1)Cc1ccc(cc1)O)C",1
"XWWFJVYCOLFCPK-VKTLHNBESA-N","NCCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCCCN)CC(=O)N)CCCCN)C(C)C)CCCN=C(N)N)CCC(=O)N)CCCCN)Cc1ccc(cc1)O)CCCN=C(N)N)CCCCN)CC(C)C)C(C)C)C)C)CC(C)C)Cc1ccc(cc1)O)CCCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@H](O)C)NC(=O)[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)[C@H](Cc1[nH]cnc1)N)O)CC(=O)O)Cc1ccccc1)CC(=O)O)CO)Cc1ccc(cc1)O)CO)CCCN=C(N)N)Cc1ccc(cc1)O)CCCN=C(N)N)CCCCN)CCC(=O)N)CCSC)C",1
"XHJGHJGQNIFKTO-WNZMCKAXSA-N","CCCC[C@@H](C(=O)N[C@H]1CCC(=O)NC[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)Cc1[nH]cnc1)Cc1ccccc1)CCCN=C(N)N)C(=O)N[C@H](C(=O)O)Cc1c[nH]c2c1cccc2)NC(=O)C",1
"IXUHQJPJNUMHQP-XQAUZQBESA-N","CC[C@@H]([C@@H](c1occ(n1)C(=O)N[C@H](C(=O)O)CCCN=C(N)N)NC(=O)Cc1c[nH]c2c1cccc2)C",1
"YZXVMOOMKNHPNU-IPHVNIDGSA-N","CN=C(NCCC[C@@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)O)N)CC(=O)N)CC(=O)N)CO)Cc1ccccc1)CC(C)C)N",1
"HIPNAYFBTPFCTB-DHTODDSISA-N","OCCCN(C(=O)[C@@H]1CCSCCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC(=O)N)CCC(=O)N)[C@H](CC)C)CC(=O)N[C@H](C(=O)NCC(=O)N)CC(C)C",1
"LLBLCDJVBVHYMQ-LZYMJWHJSA-N","CCCCC(C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCCCN)[C@H](O)C)CCC(=O)N)[C@H](CC)C)CC(C)C)Cc1c[nH]c2c1cccc2)CC(=O)N)[C@H](CC)C)Cc1ccccc1)CC(=O)O)CCCNC(=N)N)C)C)CC(C)C)CC(=O)N)CC(=O)O)CC(C)C)[C@H](CC)C)[C@H](O)C)Cc1[nH]cnc1)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@H](Cc1[nH]cnc1)N)CC(=O)O)CO)Cc1ccccc1)CO)CC(=O)O)CCC(=O)O",1
"LUHDZKBXWWFQLS-MBEDZMRZSA-N","NC(=NCCC[C@@H](C(=O)N[C@H](C(=O)N)Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@H](Cc1[nH]cnc1)NC(=O)C)N",1
"QDNBHMJNGBWJJE-SKXFTCKDSA-N","NCCCC[C@@H](C(=O)N[C@@H](C(=O)N(CC(=O)N[C@H](C(=O)NCC(=O)N)Cc1c[nH]c2c1cccc2)CCCN=C(N)N)Cc1ccccc1)NC(=O)CNC(=O)[C@@H](NC(=O)C)CCCC",1
"CBIHFXDACWBCSQ-PXKUSVDWSA-N","CC(C[C@@H](C(=O)N[C@H](C(=O)O)CCCNC(=O)NC(=O)[C@@H](N(C(=O)/C=C/c1ccccc1)C(=O)C)Cc1ccc(cc1)F)NC(=O)[C@H](CCCN=C(N)N)N)C",1
"FQPSELQXRCYRCB-LBRAAIFASA-N","CSCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCCN=C(N)N)CO)CC(C)C)CCC(=O)N)CCCN=C(N)N)CC(C)C)CCC(=O)N)CCCN=C(N)N)CC(C)C)CC(C)C)CCC(=O)N)C)CO)CC(=O)N)Cc1[nH]cnc1)C)[C@H](CC)C)CC(C)C)[C@H](O)C)N",1
"PHGPWHPEFFHWNO-CMDGGOBGSA-N","Clc1ccc(cc1)C(c1ccc2c(c1)c(ccn2)/C=C/c1ccccc1)(c1cccs1)O",2
"KSSIJUJWXZXKGL-KRWDZBQOSA-N","O[C@H](c1cccnc1)CNCCOc1ccc(cc1)c1csc(n1)C(F)(F)F",2
"OMGBHSJGIZWCCX-UHFFFAOYSA-N","O=C(C12CC3CC(C1)CC(O2)C3)c1cn(c2c1cccc2)CC1CCOCC1",2
"HDWCHQSQXHCARG-UHFFFAOYSA-N","O=C(N1CCC(CC1)CCCNc1ccc2c(c1)CCC2=O)OC(C)(C)C",2
"FAHOTOBTELSIEH-VTPACTEHSA-N","OCCOc1ccc2c3c1O[C@@H]1[C@@]43CCN([C@H](C2)[C@@]24CC[C@@]1(OC)[C@H](C2)COCc1ccccc1C)C",2
"ZLLRJYNVQVFLAQ-UHFFFAOYSA-N","Fc1cccc(c1)C#Cc1ccc(nc1)C(=O)NCCC(O)(C)C",2
"SHNLAVNKNFYRDC-YKYMNFOOSA-N","Clc1ccc(cc1)c1cnc2c(c1)C[C@@]1([C@@]34[C@H]2Oc2c4c(C[C@H]1N(CC3)C)ccc2O)OC/C=C/c1ccccc1",2
"DIZIUMQHNNQQSK-RDJZCZTQSA-N","O=C(c1ccc(c(c1)S(=O)(=O)N1CCCC1)Cl)N1CC[C@H]2[C@H](C1)CCCC2",2
"LIG0286","CC1=CCCC2(C)OC2CCC(=CCC1)C",2
"VBVYMUJWPFCVLU-UHFFFAOYSA-N","O=C1Cc2c(N1C1CCN(CC1)CC1CCC3CC1C3(C)C)cccc2",2
"LVVUKJSKGIVZET-UHFFFAOYSA-N","O=C(c1cc2c(o1)cccc2)Nc1ccc(cc1)S(=O)(=O)N(C)C",2
"SPJBUJAONVMOSK-UHFFFAOYSA-N","Fc1cccc(c1)C#Cc1cnc(nc1)N1CC(N(C1=O)C(C)C)(C)C",2
"WANLIISAKAJTRU-ATZBHFGNSA-N","CO[C@@]12CC[C@@]3(C[C@H]1COC(=O)[C@@H](Cc1ccccc1)N)[C@]14[C@@H]2Oc2c4c(C[C@@H]3N(CC1)CC1CC1)ccc2O",2
"ODHRBZMMNUOLGG-LFIBNONCSA-N","CNC(C/C=C/C(=O)N(C(C(=O)N(Cc1ccccc1)C)Cc1ccc2c(c1)cccc2)C)(C)C",2
"JVFFZFIHCMTOOP-UHFFFAOYSA-N","O=C(Cc1cccc(c1)F)NCC(C1CCN(CC1)C(=O)OC(C)(C)C)C",2
"CIOWDFAFTWBSLR-UHFFFAOYSA-N","Clc1ccc(c(c1)Cl)Oc1n(C)nc(c1C(=O)N1CCCCC1c1cccnc1)C",3
"SWFAKCMFQWMXCM-QYVSTXNMSA-N","OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NC1CC1",3
"LIG0630","CCCCCCCCCCCCCCCCCC(=O)OCC",3
"SANBGWUAQBYZHG-UHFFFAOYSA-N","Clc1ccc2c(c1)c(C)c([nH]2)C(=O)NCCc1ccc(cc1)N1CCCCC1",3
"NDWMDZOQKUQYON-UHFFFAOYSA-N","FCCOc1ccc(c(c1C1CC1CN)F)Cl.Cl",3
"ABUMZSAITJVKFU-UHFFFAOYSA-N","COc1c(C)cc(cc1C(=O)Nc1cccc(c1)c1nc2c(o1)cccn2)Br",3
"MNMBYWCWGTYZOH-KKFXVKMKSA-N","OC(=O)CCCCCC1=CC[C@H]2[C@@H](OC1)C[C@H]([C@@H]2/C=C/[C@H](COc1ccccc1)O)O",3
"NFQIURPKSWTDGP-UHFFFAOYSA-N","CC1CCc2c1[nH]nc2C(=O)O",3
"XDZZEIOBAUKKMP-OYRHEFFESA-N","C[C@@H]1N[C@H](C)CN(C1)Cc1ccc(cc1)c1ccccc1CN(C(=O)Cc1onc(c1)C)C",3
"HVCBSEUMWBLKMK-UHFFFAOYSA-N","O=C(N1CCN(CC1)c1nc2c(o1)cccc2)Nc1ccccc1C(=O)O",3
"PNYSCAYOUYBQEA-QCKVGYCISA-N","COc1ccc(cc1)CN1C(CCc2ccccc2)NN=C1[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)C1NCCNC1",3
"SYZZVQFBZIIAPM-XAHCXIQSSA-N","CC[C@@H]1[C@@H]2[C@H]1c1c(C2)c(n[nH]1)c1n[nH]nn1",3
"DLXCZGQIVQQTOM-ROPPNANJSA-N","Cc1cccc(c1)CN(C(=O)C(Oc1ccccc1)C)C[C@H]1CCCN1",3
"FWSOSXZYQJPGKV-SNYZSRNZSA-N","CC(=O)O.OCc1cc(ccc1O)[C@H](CNCCCCCCOCCCCc1cccc(c1)N1C(=O)CNC1=O)O",3
"JHDCXRRGFDEQSP-UHFFFAOYSA-N","CN(c1cc2C3CCC(c2c2c1ccn2C)O3)CCc1ccccc1",3
